cz90,czname,speccode,specdesc,incper,log_incper,n_incper,agi,log_agi,n_agi
"07400","Orlando, FL","10","Gastroenterology",746700,13.17,90,834100,13.31,90
"07500","Daytona Beach, FL","10","Gastroenterology",475200,12.89,20,518200,12.85,20
"07600","Jacksonville, FL","10","Gastroenterology",607200,13.11,100,689400,13.27,100
"08100","Columbia, SC","10","Gastroenterology",725200,13.33,30,761100,13.3,30
"08202","Charleston-North Charleston, SC (2)","10","Gastroenterology",501300,12.97,40,532700,13.04,40
"08300","Greenville, SC","10","Gastroenterology",545700,13.05,40,530900,12.34,40
"09100","Atlanta, GA","10","Gastroenterology",597000,13.03,200,675100,13.15,200
"10700","Birmingham, AL","10","Gastroenterology",538800,13.04,50,594300,13.14,50
"10900","Fort Walton Beach-Pensacola, FL","10","Gastroenterology",628700,13.14,20,642700,12.93,20
"11001","Mobile, AL (1)","10","Gastroenterology",559000,13,20,594000,12.83,20
"11302","Baltimore, MD-Washington, DC-MD-VA-WV (2)","10","Gastroenterology",488000,12.9,150,618700,13.16,150
"11304","Baltimore, MD-Washington, DC-MD-VA-WV (4)","10","Gastroenterology",515400,12.83,250,618100,13,250
"11600","Detroit-Flint, MI","10","Gastroenterology",427300,12.71,250,,,
"12200","Grand Rapids-Muskegon-Holland, MI","10","Gastroenterology",546900,13.11,40,598000,13.23,40
"12501","Dayton-Springfield, OH (1)","10","Gastroenterology",629900,13.23,50,,,
"12701","Hamilton-Middletown, OH-Cincinnati, OH-KY-IN (1)","10","Gastroenterology",550100,13.02,90,632900,13.17,90
"13101","Louisville, KY-IN (1)","10","Gastroenterology",480300,12.97,50,545000,13.09,50
"13501","Toledo, OH (1)","10","Gastroenterology",464700,12.81,30,507000,12.94,30
"13600","Benton Harbor, MI-South Bend, IN","10","Gastroenterology",570400,13.09,20,655300,13.31,20
"14200","Indianapolis, IN","10","Gastroenterology",514700,12.94,100,577800,13.04,100
"15000","Canton-Massillon, OH","10","Gastroenterology",849200,13.41,20,903600,13.46,20
"15200","Akron, OH","10","Gastroenterology",586600,13.03,150,678900,13.22,150
"15900","Columbus, OH","10","Gastroenterology",480600,12.82,90,560000,13.04,90
"16300","Pittsburgh, PA","10","Gastroenterology",501700,13,100,634600,13.14,100
"17700","Syracuse-Utica-Rome, NY","10","Gastroenterology",704700,13.18,40,740800,13.28,40
"18000","Buffalo-Niagara Falls-Rochester, NY","10","Gastroenterology",584200,13.13,80,690800,13.3,80
"18600","Glens Falls, NY","10","Gastroenterology",607600,13.08,50,670200,13.14,50
"18800","Newburgh, NY-PA-Scranton-Wilkes-Barre-Hazleton, PA","10","Gastroenterology",787100,13.15,20,907700,13.39,20
"19000","Allentown-Bethlehem-Easton, PA","10","Gastroenterology",466400,12.82,30,597500,13.14,30
"19100","Lancaster-Reading-Harrisburg-Lebanon-Carlisle, PA","10","Gastroenterology",949600,13.48,40,1015000,13.4,40
"19200","York, PA","10","Gastroenterology",563200,13.11,60,618500,13.15,60
"19300","Dutchess County, NY","10","Gastroenterology",563100,13.02,40,614400,13.12,40
"19400","New York-Nassau-Suffolk, NY","10","Gastroenterology",640200,12.88,750,763200,13.08,750
"19500","Monmouth-Ocean, NJ","10","Gastroenterology",795800,13.27,80,,,
"19600","Newark-Trenton, NJ","10","Gastroenterology",611100,12.97,350,,,
"19700","Philadelphia, PA-NJ-Vineland-Millville-Bridgeton, NJ","10","Gastroenterology",405600,12.7,350,562600,12.99,350
"20401","Boston-Worcester-Lowell, MA-NH-Providence, RI (1)","10","Gastroenterology",478000,12.76,80,,,
"20500","Barnstable-Yarmouth, MA","10","Gastroenterology",484200,12.85,350,606900,13.09,350
"20600","Manchester, NH","10","Gastroenterology",692200,13.19,40,774800,13.33,40
"20800","Springfield, MA","10","Gastroenterology",467400,12.84,20,538300,13.07,20
"20901","Hartford-New Haven-Bridgeport-Stamford, CT (1)","10","Gastroenterology",489800,12.9,200,608200,13.08,200
"21501","Minneapolis-St. Paul, MN-WI (1)","10","Gastroenterology",765700,13.34,100,853700,13.4,100
"24100","Milwaukee-Waukesha, WI","10","Gastroenterology",738600,13.28,80,809500,13.38,80
"24300","Chicago, IL","10","Gastroenterology",464400,12.77,400,584900,12.95,400
"24701","St. Louis, MO-IL (1)","10","Gastroenterology",479800,12.83,150,551900,13.01,150
"27501","Des Moines, IA (1)","10","Gastroenterology",657300,13.25,30,729900,13.35,30
"28202","Omaha, NE-IA (2)","10","Gastroenterology",788600,13.27,40,893300,13.43,40
"28401","Colorado Springs, CO (1)","10","Gastroenterology",689100,13.27,20,,,
"28800","Fort Collins-Loveland, CO","10","Gastroenterology",702800,13.28,20,753700,13.34,20
"28900","Denver-Boulder-Longmont, CO","10","Gastroenterology",656500,13.22,150,757000,13.4,150
"29502","Kansas City, MO-KS (2)","10","Gastroenterology",542100,13.05,70,612200,13.22,70
"30402","Tulsa, OK (2)","10","Gastroenterology",484200,13,40,525700,13.09,40
"30601","El Paso, TX-Las Cruces, NM (1)","10","Gastroenterology",476400,12.72,20,620100,13.04,20
"31201","Austin-San Marcos, TX (1)","10","Gastroenterology",675500,13.17,60,765500,13.32,60
"31301","San Antonio, TX (1)","10","Gastroenterology",695200,13.05,100,,,
"31600","Brownsville-Harlingen-San Benito, TX","10","Gastroenterology",699600,13.29,20,834300,13.48,20
"32000","Houston-Galveston-Texas City, TX","10","Gastroenterology",688900,13.04,200,807300,13.17,200
"33000","Fort Worth-Arlington, TX","10","Gastroenterology",649700,13.13,80,714400,13.25,80
"33100","Dallas, TX","10","Gastroenterology",590700,13.05,200,688000,13.21,200
"33803","Oklahoma City, OK (3)","10","Gastroenterology",528400,12.91,60,,,
"34701","Honolulu, HI (1)","10","Gastroenterology",514900,12.98,40,590400,13.12,40
"34901","Albuquerque, NM (1)","10","Gastroenterology",505900,12.85,40,550000,12.79,40
"35001","Phoenix-Mesa, AZ (1)","10","Gastroenterology",680800,13.2,200,794200,13.39,200
"35100","Tucson, AZ","10","Gastroenterology",717800,12.71,40,800100,12.89,40
"35801","Boise City, ID (1)","10","Gastroenterology",683000,12.61,20,686600,12.58,20
"36100","Salt Lake City-Ogden, UT","10","Gastroenterology",512900,12.93,70,560700,12.97,70
"37200","Fresno-Visalia-Tulare-Parterville, CA","10","Gastroenterology",547800,12.88,30,678700,13.1,30
"37400","Sacramento, CA","10","Gastroenterology",477200,12.89,100,549000,13.07,100
"37500","San Jose, CA","10","Gastroenterology",525200,12.97,90,662800,13.2,90
"37800","San Francisco-Oakland, CA","10","Gastroenterology",573400,13.05,200,690200,13.21,200
"37901","Las Vegas, NV-AZ (1)","10","Gastroenterology",555300,12.92,50,619700,13.11,50
"38000","San Diego, CA","10","Gastroenterology",447500,12.82,150,544400,13.04,150
"38200","Santa Barbara-Santa Maria-Lompoc, CA","10","Gastroenterology",782700,13.4,20,779100,13.32,20
"38300","Los Angeles-Long Beach, CA","10","Gastroenterology",499900,12.89,500,581000,13.03,500
"38601","Spokane, WA (1)","10","Gastroenterology",590200,12.99,30,638200,13.19,30
"38801","Portland-Vancouver, OR-WA (1)","10","Gastroenterology",560700,13.01,100,700800,13.03,100
"38901","Salem-Eugene-Springfield, OR (1)","10","Gastroenterology",652800,13.15,30,727700,13.31,30
"39400","Seattle-Tacoma-Olympia, WA","10","Gastroenterology",483900,12.93,200,591100,13.12,200
"00100","Johnson City-Kingsport-Bristol, TN-VA","11","Internal Medicine",250900,12.14,250,315700,12.44,250
"00302","Knoxville, TN-Middlesborough, KY (2)","11","Internal Medicine",285100,12.36,250,364500,12.59,250
"00500","Danville, VA","11","Internal Medicine",285700,12.34,300,346900,12.51,300
"00900","Charlotte, NC","11","Internal Medicine",325100,12.33,750,,,
"01302","Florence-Myrtle Beach, SC (2)","11","Internal Medicine",266700,12.2,150,323500,12.33,150
"01400","Fayetteville, NC","11","Internal Medicine",265000,12.25,200,,,
"01701","Raleigh-Durham-Chapel Hill, NC (1)","11","Internal Medicine",283900,12.27,950,,,
"01900","Greenville-Jacksonville, NC","11","Internal Medicine",259600,12.16,150,329600,12.49,150
"02000","Norfolk-Virginia Beach-Newport News, VA-NC","11","Internal Medicine",236600,12.2,350,312100,12.44,350
"02400","Richmond-Petersburg, VA","11","Internal Medicine",235900,12.16,450,,,
"02500","Newport News, VA","11","Internal Medicine",200500,12.02,100,267500,12.27,100
"03003","Jackson, MS (3)","11","Internal Medicine",220900,12.04,250,,,
"03300","New Orleans, LA","11","Internal Medicine",254700,12.15,500,,,
"03500","Baton Rouge, LA","11","Internal Medicine",313100,12.41,200,371700,12.53,200
"03800","Lafayette, LA","11","Internal Medicine",321800,12.35,100,368700,12.6,100
"04200","Little Rock-North Little Rock, AR","11","Internal Medicine",257300,12.26,200,319800,12.48,200
"05202","Memphis, TN-AR-MS (2)","11","Internal Medicine",286500,12.3,350,378400,12.58,350
"05600","Nashville, TN","11","Internal Medicine",285000,12.29,700,346700,12.51,700
"06000","Decatur-Huntsville, AL","11","Internal Medicine",291900,12.3,100,381800,12.69,100
"06700","Tampa-St. Petersburg-Clearwater, FL","11","Internal Medicine",397700,12.24,1200,479900,12.48,1200
"06800","Lakeland-Winter Haven, FL","11","Internal Medicine",421500,12.54,150,483800,12.67,150
"06900","Punta Gorda-Sarasota-Bradenton, FL","11","Internal Medicine",283800,12.33,300,346200,12.55,300
"07000","Fort Lauderdale-Miami, FL","11","Internal Medicine",324200,12.21,1600,,,
"07100","Fort Pierce-West Palm Beach-Boca Raton, FL","11","Internal Medicine",360500,12.33,700,433200,12.55,700
"07200","Fort Myers-Cape Coral-Naples, FL","11","Internal Medicine",319000,12.38,350,386500,12.59,350
"07300","Melbourne-Titusville-Palm Bay, FL","11","Internal Medicine",316300,12.35,200,385000,12.59,200
"07400","Orlando, FL","11","Internal Medicine",349700,12.29,800,427400,12.52,800
"07500","Daytona Beach, FL","11","Internal Medicine",256100,12.21,100,,,
"07600","Jacksonville, FL","11","Internal Medicine",249100,12.16,500,319100,12.42,500
"08100","Columbia, SC","11","Internal Medicine",300100,12.33,250,362000,12.54,250
"08202","Charleston-North Charleston, SC (2)","11","Internal Medicine",254300,12.03,250,317300,12.29,250
"08300","Greenville, SC","11","Internal Medicine",282700,12.34,350,364300,12.59,350
"08401","Augusta-Aiken, GA-SC (1)","11","Internal Medicine",198000,11.78,250,,,
"08800","Savannah, GA","11","Internal Medicine",314100,12.33,150,365800,12.53,150
"09100","Atlanta, GA","11","Internal Medicine",273800,12.23,1700,,,
"10700","Birmingham, AL","11","Internal Medicine",303400,12.38,450,382600,12.65,450
"10900","Fort Walton Beach-Pensacola, FL","11","Internal Medicine",266100,12.26,150,338100,12.55,150
"11001","Mobile, AL (1)","11","Internal Medicine",283500,12.29,150,379900,12.64,150
"11302","Baltimore, MD-Washington, DC-MD-VA-WV (2)","11","Internal Medicine",244500,12.12,1600,325400,12.44,1600
"11304","Baltimore, MD-Washington, DC-MD-VA-WV (4)","11","Internal Medicine",255100,12.16,2600,,,
"11600","Detroit-Flint, MI","11","Internal Medicine",231500,12.01,2500,297900,12.28,2500
"12200","Grand Rapids-Muskegon-Holland, MI","11","Internal Medicine",263600,12.16,400,321100,12.37,400
"12501","Dayton-Springfield, OH (1)","11","Internal Medicine",283000,12.33,300,361500,12.56,300
"12701","Hamilton-Middletown, OH-Cincinnati, OH-KY-IN (1)","11","Internal Medicine",259000,12.18,700,344300,12.51,700
"12901","Lexington-Fayette, KY (1)","11","Internal Medicine",236800,12.16,300,296600,12.29,300
"13101","Louisville, KY-IN (1)","11","Internal Medicine",268200,12.3,400,343900,12.56,400
"13501","Toledo, OH (1)","11","Internal Medicine",281100,12.29,150,376400,12.64,150
"13600","Benton Harbor, MI-South Bend, IN","11","Internal Medicine",275900,12.37,150,351200,12.62,150
"14200","Indianapolis, IN","11","Internal Medicine",251400,12.22,750,321400,12.43,750
"14900","Gary, IN","11","Internal Medicine",352600,12.44,100,464900,12.69,100
"15000","Canton-Massillon, OH","11","Internal Medicine",271400,12.29,100,323700,12.41,100
"15200","Akron, OH","11","Internal Medicine",251500,12.17,1200,330700,12.45,1200
"15900","Columbus, OH","11","Internal Medicine",255600,12.2,750,333300,12.5,750
"16300","Pittsburgh, PA","11","Internal Medicine",285100,12.27,900,377200,12.6,900
"16400","Youngstown-Warren, OH-Sharon, PA","11","Internal Medicine",275100,12.27,150,321100,12.37,150
"16500","Erie, PA-Jamestown, NY","11","Internal Medicine",279700,12.33,150,341100,12.55,150
"17700","Syracuse-Utica-Rome, NY","11","Internal Medicine",272800,12.26,200,362100,12.59,200
"18000","Buffalo-Niagara Falls-Rochester, NY","11","Internal Medicine",260700,12.25,750,331100,12.51,750
"18600","Glens Falls, NY","11","Internal Medicine",250700,12.25,300,315700,12.46,300
"18800","Newburgh, NY-PA-Scranton-Wilkes-Barre-Hazleton, PA","11","Internal Medicine",245000,12.23,300,299000,12.41,300
"19000","Allentown-Bethlehem-Easton, PA","11","Internal Medicine",247100,12.13,350,303400,12.35,350
"19100","Lancaster-Reading-Harrisburg-Lebanon-Carlisle, PA","11","Internal Medicine",264700,12.23,250,348700,12.49,250
"19200","York, PA","11","Internal Medicine",248200,12.19,400,323400,12.45,400
"19300","Dutchess County, NY","11","Internal Medicine",354000,12.29,200,435700,12.54,200
"19400","New York-Nassau-Suffolk, NY","11","Internal Medicine",286900,12.14,5300,,,
"19500","Monmouth-Ocean, NJ","11","Internal Medicine",297200,12.3,500,366900,12.49,500
"19600","Newark-Trenton, NJ","11","Internal Medicine",289100,12.2,2500,407500,12.56,2500
"19700","Philadelphia, PA-NJ-Vineland-Millville-Bridgeton, NJ","11","Internal Medicine",246500,12.06,2600,,,
"19800","Wilmington-Newark, DE-MD","11","Internal Medicine",248200,12.21,200,317500,12.42,200
"19901","Dover, DE (1)","11","Internal Medicine",287900,12.36,150,370500,12.61,150
"20100","Portland-Lewiston-Auburn, ME","11","Internal Medicine",229700,12.17,250,299600,12.47,250
"20401","Boston-Worcester-Lowell, MA-NH-Providence, RI (1)","11","Internal Medicine",264600,12.18,750,,,
"20500","Barnstable-Yarmouth, MA","11","Internal Medicine",289700,12.18,4300,,,
"20600","Manchester, NH","11","Internal Medicine",246000,12.22,350,326200,12.51,350
"20800","Springfield, MA","11","Internal Medicine",269000,12.31,350,,,
"20901","Hartford-New Haven-Bridgeport-Stamford, CT (1)","11","Internal Medicine",287900,12.23,1600,394000,12.55,1600
"21501","Minneapolis-St. Paul, MN-WI (1)","11","Internal Medicine",277900,12.37,1100,368500,12.66,1100
"22500","Appleton-Oshkosh-Neenah, WI","11","Internal Medicine",274300,12.3,90,386600,12.64,90
"23100","Madison, WI","11","Internal Medicine",210700,12.03,300,,,
"24000","Kenosha-Racine-Janesville-Beloit, WI","11","Internal Medicine",262700,12.27,60,335000,12.6,60
"24100","Milwaukee-Waukesha, WI","11","Internal Medicine",275400,12.31,600,345400,12.55,600
"24300","Chicago, IL","11","Internal Medicine",257100,12.09,3800,,,
"24400","Rockford, IL","11","Internal Medicine",306900,12.38,90,412800,12.57,90
"24701","St. Louis, MO-IL (1)","11","Internal Medicine",289400,12.27,1000,362000,12.53,1000
"27501","Des Moines, IA (1)","11","Internal Medicine",250200,12.18,200,312300,12.41,200
"28202","Omaha, NE-IA (2)","11","Internal Medicine",270600,12.13,350,358900,12.42,350
"28401","Colorado Springs, CO (1)","11","Internal Medicine",263400,12.17,150,332500,12.42,150
"28800","Fort Collins-Loveland, CO","11","Internal Medicine",217100,12.09,90,281100,12.38,90
"28900","Denver-Boulder-Longmont, CO","11","Internal Medicine",259200,12.13,1200,335800,12.39,1200
"29301","Wichita, KS (1)","11","Internal Medicine",268800,12.09,150,342400,12.36,150
"29502","Kansas City, MO-KS (2)","11","Internal Medicine",255500,12.16,600,,,
"30402","Tulsa, OK (2)","11","Internal Medicine",298300,12.28,300,,,
"30601","El Paso, TX-Las Cruces, NM (1)","11","Internal Medicine",303300,12.26,200,369100,12.45,200
"31201","Austin-San Marcos, TX (1)","11","Internal Medicine",294100,12.21,650,382700,12.52,650
"31301","San Antonio, TX (1)","11","Internal Medicine",276400,12.22,650,345100,12.46,650
"31600","Brownsville-Harlingen-San Benito, TX","11","Internal Medicine",396200,12.43,200,483800,12.61,200
"32000","Houston-Galveston-Texas City, TX","11","Internal Medicine",283500,12.17,1900,,,
"33000","Fort Worth-Arlington, TX","11","Internal Medicine",285600,12.29,550,366000,12.57,550
"33100","Dallas, TX","11","Internal Medicine",380900,12.29,1500,472700,12.57,1500
"33803","Oklahoma City, OK (3)","11","Internal Medicine",249000,12.15,300,329800,12.48,300
"34701","Honolulu, HI (1)","11","Internal Medicine",276300,12.28,400,352800,12.52,400
"34901","Albuquerque, NM (1)","11","Internal Medicine",247600,12.21,300,333600,12.5,300
"35001","Phoenix-Mesa, AZ (1)","11","Internal Medicine",310300,12.29,1300,403500,12.55,1300
"35100","Tucson, AZ","11","Internal Medicine",228500,12.05,450,,,
"35801","Boise City, ID (1)","11","Internal Medicine",235900,12.23,150,297300,12.46,150
"36000","Provo-Orem, UT","11","Internal Medicine",300700,12.4,50,313300,12.46,50
"36100","Salt Lake City-Ogden, UT","11","Internal Medicine",246000,12.12,400,,,
"37000","Modesto-Merced, CA","11","Internal Medicine",272700,12.19,100,346300,12.45,100
"37100","Bakersfield, CA","11","Internal Medicine",333400,12.5,150,389400,12.68,150
"37200","Fresno-Visalia-Tulare-Parterville, CA","11","Internal Medicine",316400,12.38,300,372300,12.54,300
"37400","Sacramento, CA","11","Internal Medicine",275600,12.3,1000,368100,12.59,1000
"37500","San Jose, CA","11","Internal Medicine",358700,12.32,1100,533300,12.78,1100
"37604","Reno, NV (4)","11","Internal Medicine",279100,12.07,150,348500,12.28,150
"37700","Santa Rosa, CA","11","Internal Medicine",255800,12.25,150,323800,12.49,150
"37800","San Francisco-Oakland, CA","11","Internal Medicine",318700,12.37,2800,453300,12.71,2800
"37901","Las Vegas, NV-AZ (1)","11","Internal Medicine",297300,12.27,700,,,
"38000","San Diego, CA","11","Internal Medicine",282800,12.28,1100,363800,12.53,1100
"38200","Santa Barbara-Santa Maria-Lompoc, CA","11","Internal Medicine",271600,12.21,200,340500,12.5,200
"38300","Los Angeles-Long Beach, CA","11","Internal Medicine",330100,12.38,5200,408400,12.6,5200
"38601","Spokane, WA (1)","11","Internal Medicine",251600,12.25,200,321500,12.39,200
"38801","Portland-Vancouver, OR-WA (1)","11","Internal Medicine",221200,12.12,1000,304100,12.41,1000
"38901","Salem-Eugene-Springfield, OR (1)","11","Internal Medicine",281400,12.31,250,336600,12.48,250
"39400","Seattle-Tacoma-Olympia, WA","11","Internal Medicine",263000,12.27,1600,369300,12.6,1600
"19400","New York-Nassau-Suffolk, NY","12","Osteopathic Manipulative Medicine",185600,11.86,40,250800,12.2,40
"28900","Denver-Boulder-Longmont, CO","12","Osteopathic Manipulative Medicine",179700,11.98,20,230600,12.22,20
"37800","San Francisco-Oakland, CA","12","Osteopathic Manipulative Medicine",232700,12.16,20,325400,12.48,20
"38000","San Diego, CA","12","Osteopathic Manipulative Medicine",351700,12.41,20,429000,12.72,20
"38300","Los Angeles-Long Beach, CA","12","Osteopathic Manipulative Medicine",422600,12.78,90,452500,12.77,90
"00900","Charlotte, NC","13","Neurology",219500,12.16,20,350000,12.58,20
"01701","Raleigh-Durham-Chapel Hill, NC (1)","13","Neurology",197900,12.04,20,278400,12.42,20
"05600","Nashville, TN","13","Neurology",198800,11.96,20,258600,12.17,20
"07000","Fort Lauderdale-Miami, FL","13","Neurology",225100,12.16,20,328700,12.38,20
"07400","Orlando, FL","13","Neurology",464500,12.6,20,519800,12.86,20
"09100","Atlanta, GA","13","Neurology",340200,12.23,20,481000,12.52,20
"11302","Baltimore, MD-Washington, DC-MD-VA-WV (2)","13","Neurology",284600,12.33,20,312200,12.11,20
"11304","Baltimore, MD-Washington, DC-MD-VA-WV (4)","13","Neurology",222100,12.17,40,309700,12.5,40
"11600","Detroit-Flint, MI","13","Neurology",232300,12.21,30,323300,12.55,30
"12701","Hamilton-Middletown, OH-Cincinnati, OH-KY-IN (1)","13","Neurology",261100,12.31,30,329000,12.45,30
"15200","Akron, OH","13","Neurology",264200,12.37,20,340100,12.53,20
"15900","Columbus, OH","13","Neurology",190100,12.1,20,227300,12.3,20
"18000","Buffalo-Niagara Falls-Rochester, NY","13","Neurology",272500,12.23,20,375700,12.67,20
"19400","New York-Nassau-Suffolk, NY","13","Neurology",322900,12.33,80,455400,12.73,80
"19600","Newark-Trenton, NJ","13","Neurology",333600,12.48,50,424400,12.76,50
"19700","Philadelphia, PA-NJ-Vineland-Millville-Bridgeton, NJ","13","Neurology",256600,12.29,50,378800,12.63,50
"20500","Barnstable-Yarmouth, MA","13","Neurology",252000,12.25,100,366400,12.62,100
"20901","Hartford-New Haven-Bridgeport-Stamford, CT (1)","13","Neurology",248500,12.32,20,386300,12.77,20
"21501","Minneapolis-St. Paul, MN-WI (1)","13","Neurology",258500,12.26,20,419900,12.77,20
"24300","Chicago, IL","13","Neurology",353700,12.35,60,437500,12.44,60
"24701","St. Louis, MO-IL (1)","13","Neurology",195800,12.05,30,308800,12.4,30
"28900","Denver-Boulder-Longmont, CO","13","Neurology",179300,12.06,20,263900,12.27,20
"31201","Austin-San Marcos, TX (1)","13","Neurology",293700,12.4,20,341200,12.63,20
"31301","San Antonio, TX (1)","13","Neurology",210300,12.18,20,,,
"32000","Houston-Galveston-Texas City, TX","13","Neurology",268400,12.19,30,355500,12.47,30
"33100","Dallas, TX","13","Neurology",227600,12.17,40,307000,12.45,40
"35001","Phoenix-Mesa, AZ (1)","13","Neurology",251300,12.27,20,331500,12.53,20
"37800","San Francisco-Oakland, CA","13","Neurology",323400,12.53,30,415800,12.78,30
"38000","San Diego, CA","13","Neurology",235400,12.15,20,335000,12.53,20
"38300","Los Angeles-Long Beach, CA","13","Neurology",260800,12.2,60,378900,12.61,60
"38801","Portland-Vancouver, OR-WA (1)","13","Neurology",223000,12.3,20,326700,12.63,20
"39400","Seattle-Tacoma-Olympia, WA","13","Neurology",226700,12.2,30,441400,12.78,30
"00302","Knoxville, TN-Middlesborough, KY (2)","14","Neurosurgery",631300,13,20,673700,13.21,20
"00900","Charlotte, NC","14","Neurosurgery",965700,13.66,30,948400,13.34,30
"01701","Raleigh-Durham-Chapel Hill, NC (1)","14","Neurosurgery",801600,13.26,50,865400,13.34,50
"02000","Norfolk-Virginia Beach-Newport News, VA-NC","14","Neurosurgery",502100,12.97,20,512900,12.86,20
"02400","Richmond-Petersburg, VA","14","Neurosurgery",779700,13.46,20,860900,13.54,20
"03300","New Orleans, LA","14","Neurosurgery",798600,13.04,40,,,
"04200","Little Rock-North Little Rock, AR","14","Neurosurgery",826700,13.42,30,841700,13.41,30
"05202","Memphis, TN-AR-MS (2)","14","Neurosurgery",1890000,13.61,20,2015000,13.74,20
"05600","Nashville, TN","14","Neurosurgery",783800,13.13,50,853800,13.36,50
"06700","Tampa-St. Petersburg-Clearwater, FL","14","Neurosurgery",674800,13.18,60,695800,13.16,60
"06900","Punta Gorda-Sarasota-Bradenton, FL","14","Neurosurgery",544700,12.75,20,648900,13,20
"07000","Fort Lauderdale-Miami, FL","14","Neurosurgery",564200,12.78,80,,,
"07100","Fort Pierce-West Palm Beach-Boca Raton, FL","14","Neurosurgery",788700,12.87,40,,,
"07200","Fort Myers-Cape Coral-Naples, FL","14","Neurosurgery",1054000,13.37,20,1099000,13.47,20
"07400","Orlando, FL","14","Neurosurgery",835900,13.27,40,902400,13.35,40
"07600","Jacksonville, FL","14","Neurosurgery",927000,13.44,40,944700,13.45,40
"08202","Charleston-North Charleston, SC (2)","14","Neurosurgery",910900,13.11,30,931200,13.29,30
"09100","Atlanta, GA","14","Neurosurgery",783100,13.11,80,883400,13.34,80
"10700","Birmingham, AL","14","Neurosurgery",692300,13.16,40,784600,13.33,40
"10900","Fort Walton Beach-Pensacola, FL","14","Neurosurgery",603400,12.96,20,612700,12.98,20
"11302","Baltimore, MD-Washington, DC-MD-VA-WV (2)","14","Neurosurgery",755500,13.22,60,839200,13.27,60
"11304","Baltimore, MD-Washington, DC-MD-VA-WV (4)","14","Neurosurgery",762400,12.87,80,805100,13.1,80
"11600","Detroit-Flint, MI","14","Neurosurgery",613800,12.8,100,675500,12.97,100
"12200","Grand Rapids-Muskegon-Holland, MI","14","Neurosurgery",791700,13.37,20,831200,13.47,20
"12501","Dayton-Springfield, OH (1)","14","Neurosurgery",585300,12.77,20,615000,12.65,20
"12701","Hamilton-Middletown, OH-Cincinnati, OH-KY-IN (1)","14","Neurosurgery",1058000,13.68,40,1102000,13.64,40
"13101","Louisville, KY-IN (1)","14","Neurosurgery",760400,13.22,30,796000,13.3,30
"14200","Indianapolis, IN","14","Neurosurgery",855500,13.47,40,943400,13.57,40
"15200","Akron, OH","14","Neurosurgery",701500,13.03,60,757300,13.11,60
"15900","Columbus, OH","14","Neurosurgery",819300,13.2,50,875900,13.29,50
"16300","Pittsburgh, PA","14","Neurosurgery",873100,13.09,50,933300,13.23,50
"17700","Syracuse-Utica-Rome, NY","14","Neurosurgery",576100,12.6,20,639800,12.91,20
"18000","Buffalo-Niagara Falls-Rochester, NY","14","Neurosurgery",829100,13.4,40,857000,13.33,40
"18600","Glens Falls, NY","14","Neurosurgery",5672000,13.73,20,22600000,13.89,20
"19200","York, PA","14","Neurosurgery",721100,13.19,30,777100,13.37,30
"19400","New York-Nassau-Suffolk, NY","14","Neurosurgery",1107000,13.27,200,1186000,13.36,200
"19500","Monmouth-Ocean, NJ","14","Neurosurgery",1062000,13.33,20,1136000,13.5,20
"19600","Newark-Trenton, NJ","14","Neurosurgery",1541000,13.66,90,1579000,13.65,90
"19700","Philadelphia, PA-NJ-Vineland-Millville-Bridgeton, NJ","14","Neurosurgery",861100,13.27,100,953900,13.43,100
"20401","Boston-Worcester-Lowell, MA-NH-Providence, RI (1)","14","Neurosurgery",489800,11.81,30,533100,12.82,30
"20500","Barnstable-Yarmouth, MA","14","Neurosurgery",607100,12.98,150,630200,12.88,150
"20901","Hartford-New Haven-Bridgeport-Stamford, CT (1)","14","Neurosurgery",753500,13.37,60,878000,13.4,60
"21501","Minneapolis-St. Paul, MN-WI (1)","14","Neurosurgery",823500,13.29,60,910900,13.42,60
"24100","Milwaukee-Waukesha, WI","14","Neurosurgery",860700,13.21,40,959800,13.31,40
"24300","Chicago, IL","14","Neurosurgery",674100,12.94,150,749700,13.01,150
"24701","St. Louis, MO-IL (1)","14","Neurosurgery",549300,12.67,80,,,
"28202","Omaha, NE-IA (2)","14","Neurosurgery",739600,12.95,30,739500,12.94,30
"28401","Colorado Springs, CO (1)","14","Neurosurgery",560100,12.9,20,586600,13,20
"28900","Denver-Boulder-Longmont, CO","14","Neurosurgery",806800,13.12,70,872800,13.08,70
"29502","Kansas City, MO-KS (2)","14","Neurosurgery",525300,12.69,50,,,
"30402","Tulsa, OK (2)","14","Neurosurgery",825600,13.31,20,905100,13.47,20
"31201","Austin-San Marcos, TX (1)","14","Neurosurgery",939800,13.55,30,972600,13.6,30
"31301","San Antonio, TX (1)","14","Neurosurgery",494600,12.65,40,542900,12.8,40
"32000","Houston-Galveston-Texas City, TX","14","Neurosurgery",619800,12.8,100,699200,12.94,100
"33000","Fort Worth-Arlington, TX","14","Neurosurgery",1260000,13.6,30,1340000,13.67,30
"33100","Dallas, TX","14","Neurosurgery",955600,13.32,60,1007000,13.37,60
"33803","Oklahoma City, OK (3)","14","Neurosurgery",855900,13.3,30,946900,13.5,30
"35001","Phoenix-Mesa, AZ (1)","14","Neurosurgery",1110000,13.14,90,,,
"35100","Tucson, AZ","14","Neurosurgery",960500,13.08,30,979000,13.11,30
